Timestamp_UTC,Symbol,Side,Regime,Model_Ver,Feat_Hash,Raw_Proba,Calib_Proba,Threshold,P_L_0,P_L_1,P_L_2,P_S_0,P_S_1,P_S_2,EV_Adj,Uncertainty,Status,Reject_Stage,Reject_Reason,Outcome_1H_PnL,Outcome_6H_PnL,Outcome_12H_PnL
2026-05-07T07:03:05.457932,SMOKE_BTC,LONG,0,smoke_test_ver,smoke_test_hash,0.6,0.65,0.7,0.6,0.5,0.4,0.3,0.4,0.5,0.02,0.01,SMOKE_PASSED,NONE,Testing Execution,,,
2026-05-07T07:03:06.754732,BTCUSDT,LONG,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.4544,0.4544,0.7,0.4544,0.4544,0.4544,0.6558,0.6558,0.6558,0.0,0.0,REJECTED,T1_PROBA,Proba < Thresh (0.454 < 0.7),,,
2026-05-07T07:03:06.754732,BTCUSDT,SHORT,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.6558,0.6558,0.99,0.4544,0.4544,0.4544,0.6558,0.6558,0.6558,0.0,0.0,REJECTED,T1_PF,Low PF (0.0),,,
2026-05-07T07:03:07.910444,ETHUSDT,LONG,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.6136,0.6136,0.7,0.6136,0.6136,0.6136,0.3744,0.3744,0.3744,0.0,0.0,REJECTED,T1_PROBA,Proba < Thresh (0.614 < 0.7),,,
2026-05-07T07:03:07.910444,ETHUSDT,SHORT,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.3744,0.3744,0.99,0.6136,0.6136,0.6136,0.3744,0.3744,0.3744,0.0,0.0,REJECTED,T1_PF,Low PF (0.0),,,
2026-05-07T07:03:08.908709,SOLUSDT,LONG,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.1097,0.1097,0.7,0.1097,0.1097,0.1097,0.5937,0.5937,0.5937,0.0,0.0,REJECTED,T1_PROBA,Proba < Thresh (0.110 < 0.7),,,
2026-05-07T07:03:08.909709,SOLUSDT,SHORT,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.5937,0.5937,0.99,0.1097,0.1097,0.1097,0.5937,0.5937,0.5937,0.0,0.0,REJECTED,T1_PF,Low PF (0.0),,,
2026-05-07T07:03:09.938136,BNBUSDT,LONG,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.121,0.121,0.7,0.121,0.121,0.121,0.6133,0.6133,0.6133,0.0,0.0,REJECTED,T1_PROBA,Proba < Thresh (0.121 < 0.7),,,
2026-05-07T07:03:09.939136,BNBUSDT,SHORT,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.6133,0.6133,0.99,0.121,0.121,0.121,0.6133,0.6133,0.6133,0.0,0.0,REJECTED,T1_PF,Low PF (0.0),,,
2026-05-07T07:03:10.831962,XRPUSDT,LONG,0,2026-05-07T06:27:54.746643,00015508ff3f5eb45da32079d52f703f,0.6159,0.6159,0.7,0.6159,0.6159,0.6159,0.4711,0.4711,0.4711,0.0,0.0,REJECTED,T1_PROBA,Proba < Thresh (0.616 < 0.7),,,
